Hanja,Pronunciation,Definition,Alternate Pronunciation,Examples,Radicals,Reading Level,Writing Level
初,초,처음,,"初 - 초 (beginning (of), early, initial)
最初 - 최초 (outset)
初期 - 초기 (the early days, the initial period)
初代 - 초대 (first, founder)
初等學校 - 초등학교 (elementary school)
初盤 - 초반 (early phase, early stage)
","刀, 初",5,4
草,초,풀,,"草綠色 - 초록색 (green)
草原 - 초원 (a plain, a prarie)
草案 - 초안 (draft)
雜草 - 잡초 (weed)
草稿 - 초고 (draft)
草食動物 - 초식 동물 (herbivore)
","十, 艾, 日",7,6
招,초,부를,,"招待 - 초대 (an invitation)
招待- - 초대하다 (to invite)
招請 - 초청 (an invitation)
招請- - 초청하다 (to invite)
招聘 - 초빙 (engagement)
招請狀 - 초청장 (written invitation)
","刀, 口, 扎",4,3
肖,초,닮을,,"肖像畵 - 초상화 (a portrait, a picture)
肖像 - 초상 (portrait)
","尚, 月",3II,2
超,초,넘을,,"超過 - 초과 (excess)
超人 - 초인 (superman)
超人的 - 초인적인 (superhuman)
極超短波 - 극초단파 (ultrahigh frequency)
超短波 - 초단파 (very high frequency)
超現實主義 - 초현실주의 (surrealism)
","刀, 口, 土, 走",3II,2
抄,초,베낄,,,"ノ, 小, 扎",3,2
礎,초,주춧돌,,"基礎 - 기초 (foundation)
基礎的 - 기초적 (fundamental, basic)
礎石 - 초석 (foundation stone)
","口, 木, 疋, 石",3II,2
秒,초,초,,"秒 - 초 (a second)
","ノ, 小, 禾",3,2
促,촉,재촉할,,"促進 - 촉진 (promotion)
","化, 口, 足",3II,2
燭,촉,촛불,,"燭光 - 촉광 (candlepower)
","勹, 火, 買, 虫",3,2
觸,촉,닿을,,"接觸 - 접촉 (touch)
觸診 - 촉진 (palpation)
觸媒 - 촉매 (catalyst)
觸手 - 촉수 (tentacle)
觸角 - 촉각 (feeler)
","勹, 買, 虫, 角",3II,2
寸,촌,마디,,"四寸 - 사촌 (a cousin)
三寸 - 삼촌 (an uncle)
外三寸 - 외삼촌 (an uncle on one's mother's side)
寸劇 - 익살맞은 촌극 (afterpiece)
",寸,8,6II
村,촌,마을,,"村- - 촌스럽다 (unfashionable, unsophisticated)
農村 - 농촌 (a farm village)
","寸, 木",7,6
銃,총,총,,"銃 - 총 (a gun)
小銃 - 소총 (rifle)
機關銃 - 기관총 (machine gun)
銃床 - 총상 (gunstock)
銃口 - 총구 (muzzle)
銃聲 - 총성 (report)
","亠, 儿, 厶, 金",4II,3II
總,총,거느릴,,"總 - 총 (all, entire, whole)
總長 - 총장 (president)
總理 - 총리 (general overseeing, presiding over)
總會 - 총회 (general meeting)
總裁 - 총재 (president)
總角 - 총각 (a bachelor, a single man)
","囗, 夂, 心, 糸",4II,3II
聰,총,총명할,,"聰明 - 총명 (sagacity)
","囗, 夂, 心, 耳",3,2
最,최,가장,,"最高 - 최고 (the best)
最初 - 최초 (outset)
最大 - 최대 (the greatest, the largest)
最近 - 최근 (recently)
最終 - 최종 (last, final, terminal)
最善 - 최선 (the best, one's best)
","一, 又, 日, 耳",5,4
催,최,재촉할,,"主催 - 주최하다 (to host)
催淫劑 - 최음제 (aphrodisiac)
","化, 山, 隹",3II,2
秋,추,가을,,"秋夕 - 추석 (Korean Thanksgiving)
","火, 禾",7,6
追,추,쫓을,,"追加 - 추가 (an addition)
追加- - 추가하다 (to add sth, to supplement)
追加- - 추가되다 (to be added)
追憶 - 추억 (reminiscence)
追跡 - 추적 (pursuit)
追跡 - 추적하다 (chase)
","｜, 込, 口",3II,2
推,추,밀,,"推薦 - 추천 (recommendation)
推進 - 추진 (propulsion)
推定 - 추정 (presumption)
推測 - 추측 (conjecture)
推測 - 추측하다 (speculate)
推理 - 추리 (reasoning)
","扎, 隹",4,3
抽,추,뽑을,,"抽出 - 추출하다 (educe)
抽象 - 추상적인 (abstract)
","｜, 扎, 日, 田",3,2
醜,추,추할,,"醜惡 - 추악 (ugliness)
醜聞 - 추문 (scandal)
","儿, 匕, 田, 酉, 鬼",3,2
丑,축,소,,,"一, ｜, ノ",3,2
祝,축,빌,,"祝賀 - 축하 (congratulation)
祝祭 - 축제 (feast)
祝福 - 축복 (blessing)
祝典 - 축전 (celebration)
慶祝 - 경축 (celebration)
祝杯 - 축배 (toast)
","儿, 口, 礼",5,4
畜,축,가축,,"家畜 - 가축 (livestock)
畜産 - 축산 (animal husbandry)
","亠, 幺, 玄, 田",3II,2
蓄,축,모을,,"蓄積 - 축적 (accumulation)
蓄積 - 축적하다 (fund)
貯蓄 - 저축 (saving)
含蓄 - 함축 (implication)
蓄膿症 - 축농증 (empyema)
蓄電池 - 축전지 (storage battery)
","亠, 幺, 艾, 玄, 田",4II,3II
築,축,쌓을,,"築堤 - 축제 (embankment)
建築 - 건축 (construction)
築城 - 축성 (fortification)
築造 - 축조 (construction)
","丶, 几, 工, 木, 竹",4II,3II
逐,축,쫓을,,"驅逐艦 - 구축함 (destroyer)
","込, 豕",3,2
縮,축,줄일,,"縮小 - 축소 (reduction)
短縮 - 단축 (shortening)
收縮 - 수축 (contraction)
萎縮 - 위축 (contraction)
萎縮 - 위축하다 (atrophy)
凝縮 - 응축 (condensation)
","化, 宀, 白, 糸",4,3
春,춘,봄,,"靑春 - 청춘 (youth)
思春期 - 사춘기 (adolescence, puberty)
賣春 - 매춘 (prostitution)
回春 - 회춘 (rejuvenation)
","一, ノ, 二, 日",7,6
出,출,날,,"出張 - 출장 (a business trip)
出演 - 출연 (going on stage)
出演- - 출연하다 (appear on stage, act, sing)
出身 - 출신 (a native, place one is from)
出發 - 출발 (departure)
進出 - 진출 (an advance)
","｜, 山",7,6
充,충,채울,,"充分 - 충분히 (plenty)
充分 - 충분 (sufficient, enough)
補充 - 보충 (supplement)
充當 - 충당 (appropriation)
充血 - 충혈 (congestion, hyperemia, engorgement)
充溢 - 충일 (exuberance)
","亠, 儿, 厶",5II,4II
忠,충,충성,,"忠誠 - 충성 (loyalty)
忠實 - 충실 (fidelity)
忠告 - 충고 (advice)
忠淸道 - 충청도 (area around Daejon city)
忠心 - 충심 (loyal)
忠節 - 충절 (loyalty)
","｜, 口, 心",4II,3II
蟲,충,벌레,,"蟲齒 - 충치 (caries)
幼蟲 - 유충 (larva)
甲蟲 - 갑충 (beetle)
毛蟲 - 모충 (caterpillar)
蟯蟲 - 요충 (threadworm)
精蟲 - 정충 (sperm)
",虫,4II,3II
衝,충,찌를,,"衝擊 - 충격 (an impact, a shock)
衝擊的 - 충격적 (shocking)
衝突 - 충돌 (collision)
衝突 - 충돌하다 (conflict)
衝動 - 충동 (urge)
衝動的 - 충동적인 (impulsive)
","｜, 彳, 日, 行, 里",3II,2
取,취,가질,,"取扱 - 취급 (management)
取消 - 취소 (cancellation)
取消- - 취소하다 (to cancel, call off, take back, retract)
取- - 취하다 (to adopt, assume, take)
取得 - 취득 (acquisition)
取材 - 취재 (selection, picking out of news articles (by a reporter))
","又, 耳",4II,3II
